,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
56,@FAIRImmigration @NBCNews @JuliaEAinsley You must not get the same news I get.  Remember all the people who died wh… https://t.co/pYLMBCHbtl,,,Sat Jan 12 16:49:29 +0000 2019,"[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]",United States,US,"Texas, USA",Fri Jul 03 16:32:08 +0000 2015,
57,TRAFFIC ALERT UPDATE: The OSB sustained heavy damage and will need to be taken down for #safety reasons. That means… https://t.co/c1kU25HGak,,,Sat Jan 12 16:25:51 +0000 2019,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",United States,US,"San Antonio, TX",Tue Apr 28 16:49:18 +0000 2009,"San Antonio, Texas"
58,"Our Ottawa retail shop will be closed today (Saturday, January 12th) due to poor road conditions. Sorry for any inc… https://t.co/aVjhbzRQVK",,"[-88.84285, 41.34555]",Sat Jan 12 16:24:21 +0000 2019,"[[[-88.87973, 41.313992], [-88.781619, 41.313992], [-88.781619, 41.389591], [-88.87973, 41.389591]]]",United States,US,"Ottawa, IL",Thu Feb 02 02:03:12 +0000 2017,"Peru, IL"
59,"We are closed today due to bad road conditions. Thank you! 🌨☃️❄️
#tuscola #centralillinois #champaignurbana… https://t.co/dj3QwM7H1Z",,"[-88.2883, 39.80006]",Sat Jan 12 16:23:22 +0000 2019,"[[[-88.29429, 39.7805553], [-88.25781, 39.7805553], [-88.25781, 39.8205446], [-88.29429, 39.8205446]]]",United States,US,"Tuscola, IL",Fri Nov 05 03:24:32 +0000 2010,"Tuscola, IL"
60,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,,"[-112.0829, 33.68369]",Sat Jan 12 15:06:32 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
61,"Our partners at @CaltransDist7 need some extra time to clean-up and address damage to the on-ramp, so they are goin… https://t.co/HjrZNkRj1v",,,Sat Jan 12 14:13:58 +0000 2019,"[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]",United States,US,"Los Angeles, CA",Thu Feb 04 03:05:41 +0000 2016,"Moorpark, CA"
62,"Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy, stopped traffic back to Louetta",,"[-95.44265, 30.12672]",Sat Jan 12 14:10:37 +0000 2019,"[[[-95.452477, 30.076095], [-95.349469, 30.076095], [-95.349469, 30.173617], [-95.452477, 30.173617]]]",United States,US,"Oak Ridge North, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
63,We are closed for lunch today due to the road conditions for some of our staff. We will try to open tonight for din… https://t.co/eG3GzYIyfR,,,Sat Jan 12 14:08:39 +0000 2019,"[[[-90.3623212, 38.618724], [-90.306259, 38.618724], [-90.306259, 38.641146], [-90.3623212, 38.641146]]]",United States,US,"Richmond Heights, MO",Thu Aug 19 08:24:37 +0000 2010,"Saint Louis, Missouri"
64,"❄️ SNOW DAY ❄️ 
The Bargain Boutique will be CLOSED today due to slick road conditions. 
•Everyone stay in and be s… https://t.co/WFa71eit6k",,"[-86.6089, 40.1289]",Sat Jan 12 13:58:25 +0000 2019,"[[[-88.097892, 37.771743], [-84.78458, 37.771743], [-84.78458, 41.761368], [-88.097892, 41.761368]]]",United States,US,"Indiana, USA",Sat Jul 28 02:34:10 +0000 2012,"100 S. Pearl St. Thorntown, Indiana, USA"
65,Incident on I-10 EB @ MP27.9 at Exit 27/Causeway in Mobile. Road closed. Seek alternate route. More details: https://t.co/Hc0lXBWFtr,,"[-88.023616, 30.691136]",Sat Jan 12 13:34:30 +0000 2019,"[[[-88.301598, 30.523874], [-88.021513, 30.523874], [-88.021513, 30.843424], [-88.301598, 30.843424]]]",United States,US,"Mobile, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
